account,xmtBalance,xprBalance,refundingXpr,shortStake,xmtLpBalance,xmtLp,xprLpBalance,xprLp,farmerLpBalance,farmerLp,longStake90Days,longStake365Days,xmtLoan,xprLoan,refundingXprLoan,shortStakeLoan,xmtLpLoan,xprLpLoan,farmerLpLoan,longStake90DaysLoan,longStake365DaysLoan,totalLoan,loanDistributed
444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444455,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
512345,0,2.045,0,0,0,0,0,0,0,0,0,0,0,2.045,0,0,0,0,0,0,0,2.045,0
543215,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
551433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553255,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
553345,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.15,0
555555,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
1111111,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
1214525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11122222,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
12121212,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0
12341234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14321432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44444444,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
111222333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123123123,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
1122334455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234512345,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0
1234554321,0,12.3625,0,0,0,0,0,0,0,0,0,0,0,12.3625,0,0,0,0,0,0,0,12.3625,0
1514131211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bdllah,68.68216,0,0,0,0,0,0,0,0,0,0,0,22871.15928,0,0,0,0,0,0,0,0,22871.1593,0
4atz,0,0,0,0,0,0,0,0,0,0,860385.369,101369.4027,0,0,0,0,0,0,0,8603853.69,3041082.0810000002,11644935.771,0
abadyahu,28.83913669,0,0,0,0,0,0,0,0,0,41629.064,37452.1369,9603.43251777,0,0,0,0,0,0,416290.64,1123564.1069999998,1549458.1795,0
abebellini,0.00126653,347989.6921,0,0,0,0,0,0,0,0,0,0,0.42175449000000004,347989.6921,0,0,0,0,0,0,0,347990.1139,0
aboyfromcape,1000,0,0,0,0,0,0,0,0,0,57000,27000,333000,0,0,0,0,0,0,570000,810000,1713000,0
acapps,100,0,0,35060.7682,0,0,0,0,0,0,10049.8323,10049.8323,33300,0,0,70121.5364,0,0,0,100498.323,301494.969,505414.8284,0
acerlevi1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acir21,0,1732.8373,0,0,0,0,0,0,0,0,0,0,0,1732.8373,0,0,0,0,0,0,0,1732.8373,0
actionzakson,0.52700257,106.5637,0,0,0,0,0,0,0,0,0,0,175.49185580999998,106.5637,0,0,0,0,0,0,0,282.0556,0
adit,0,0,0,253914.6658,0,0,0,0,0,0,0,0,0,0,0,507829.3316,0,0,0,0,0,507829.3316,0
adrianc,100.24,0.6123,0,0,0,0,0,0,0,0,50411,0,33379.92,0.6123,0,0,0,0,0,504110,0,537490.5323,0
agentorange,20,0,0,0,0,0,0,0,0,0,3000,3000,6660,0,0,0,0,0,0,30000,90000,126660,0
ahke,65.29748984,0,0,0,0,0,0,0,0,0,0,0,21744.064116719997,0,0,0,0,0,0,0,0,21744.0641,0
airdrop11,12.45,0,0,0,0,0,0,0,0,0,0,0,4145.849999999999,0,0,0,0,0,0,0,0,4145.85,0
aiwasiwka,575.30066431,0,0,40439.0169,0,0,0,0,0,0,120000,40000,191575.12121523,0,0,80878.0338,0,0,0,1200000,1200000,2672453.155,0
ajh11,109.15413027,0,0,501240.318,0,0,0,0,0,0,27095,27095,36348.32537991,0,0,1002480.636,0,0,0,270950,812850,2122628.9614,0
aleksander,1091044.91598585,571.0221,0,0,0,0,0,0,13377.73942857,176389.10694777043,11248047.273699999,0,363317957.023288,571.0221,0,0,0,0,352778.21389554086,112480472.73699999,0,476151778.9963,0
alexb,0.00199079,0,0,0,0,0,0,0,0,0,0,0,0.66293307,0,0,0,0,0,0,0,0,0.6629,0
allyourbase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almiqbali,200088.25764003,7877.5001,0,0,0,0,0,0,0,0,11182153.9161,11182153.9161,66629389.79412999,7877.5001,0,0,0,0,0,111821539.16099998,335464617.483,513923423.9382,0
alprclk,0,0,0,6916.8223,0,0,0,0,0,0,0,0,0,0,0,13833.6446,0,0,0,0,0,13833.6446,0
amanwilliams,10.05012553,0,8613.2817,0,0,0,0,0,79.68925123,1050.7242970943973,11504.7947,5624.9792,3346.69180149,0,8613.2817,0,0,0,2101.4485941887947,115047.947,168749.376,297858.7451,0
amattice,0,1020.7287,0,0,0,0,0,0,0,0,0,0,0,1020.7287,0,0,0,0,0,0,0,1020.7287,0
amc431,0,0.4211,0,0,0,0,0,0,0,0,0,0,0,0.4211,0,0,0,0,0,0,0,0.4211,0
amcdono2,4,500,0,0,0,0,0,0,0,0,0,0,1332,500,0,0,0,0,0,0,0,1832,0
amiru,27546.19720868,0,0,0,0,0,0,0,0,0,0,0,9172883.67049044,0,0,0,0,0,0,0,0,9172883.6705,0
ampgbr,7.45,0,0,0,0,0,0,0,0,0,0,0,2480.85,0,0,0,0,0,0,0,0,2480.85,0
anal,2770.09311631,2105.0741,0,300106.2582,0,0,0,0,7629.82766683,100601.33817850829,224000,115000,922441.00773123,2105.0741,0,600212.5164,0,0,201202.67635701658,2240000,3450000,7415961.2746,0
anaousoul,38.25193191,0,0,0,0,0,0,0,0,0,26521.6173,26521.6173,12737.893326030002,0,0,0,0,0,0,265216.173,795648.5190000001,1073602.5853,0
andreas1,5606.65,6.65,0,0,0,0,0,0,0,0,5600,5600,1867014.45,6.65,0,0,0,0,0,56000,168000,2091021.1,0
andrewb,30.24989857,30840.9149,0,0,0,0,0,0,0,0,280199.215,142854.8152,10073.216223809999,30840.9149,0,0,0,0,0,2801992.1500000004,4285644.456,7128550.7371,0
anfedo,0,0.8277,0,0,0,0,0,0,0,0,0,0,0,0.8277,0,0,0,0,0,0,0,0.8277,0
anomymous,2624.2592334,1340536.6593,0,0,0,0,0,0,0,0,0,0,873878.3247222,1340536.6593,0,0,0,0,0,0,0,2214414.984,0
antaekeun,17.48560843,2507590.9862,0,0,0,0,0,0,10.722387,141.3775681143278,2863384.088,2863384.088,5822.70760719,2507590.9862,0,0,0,0,282.7551362286556,28633840.88,85901522.64,117049059.9689,0
anthony,10003.5,0.0001,0,0,0,0,0,0,0,0,543596.1398,543596.1398,3331165.5,0.0001,0,0,0,0,0,5435961.398,16307884.194,25075011.0921,0
antikaos,9.41811671,0.3305,0,0,0,0,0,0,3208.04725423,42298.96936184863,201654.4939,45020,3136.23286443,0.3305,0,0,0,0,84597.93872369725,2016544.939,1350600,3454879.4411,0
apurvataki,0.00000512,0,0,6403.5473,0,0,0,0,0,0,0,0,0.00170496,0,0,12807.0946,0,0,0,0,0,12807.0963,0
aqmni,0.00035698,0,0,0,0,0,0,0,0,0,0,0,0.11887434000000001,0,0,0,0,0,0,0,0,0.1189,0
arieljafari,0.00000992,0,0,0,0,0,0,0,0,0,0,0,0.00330336,0,0,0,0,0,0,0,0,0.0033,0
arjunsingh,0,0,0,0,0,0,0,0,0,0,14700.5483,0,0,0,0,0,0,0,0,147005.483,0,147005.483,0
arvin,6.54954306,1998.0002,0,0,0,0,0,0,0,0,0,0,2180.9978389800003,1998.0002,0,0,0,0,0,0,0,4178.998,0
as133,0,0,0,0,0,0,0,0,0,0,168597.0095,113597.0095,0,0,0,0,0,0,0,1685970.0949999997,3407910.285,5093880.38,0
ashiqkareem,67.05853055,0,0,25952.911,0,0,0,0,0,0,0,0,22330.49067315,0,0,51905.822,0,0,0,0,0,74236.3127,0
asybarite,0.29171299,548.0572,0,0,0,0,0,0,0,0,777,777,97.14042567,548.0572,0,0,0,0,0,7770,23310,31725.1976,0
atelier,0.0562338,0,0,0,0,0,0,0,0,0,0,0,18.7258554,0,0,0,0,0,0,0,0,18.7259,0
atomlaunch,0,305.7177,0,185238.2363,0,0,0,0,0,0,23273.3603,23273.3603,0,305.7177,0,370476.4726,0,0,0,232733.603,698200.809,1301716.6023,0
atscrypto,66.46514646,0,0,109343.4695,0,0,0,0,0,0,70362,70362,22132.89377118,0,0,218686.939,0,0,0,703620,2110860,3055299.8328,0
aug3,98.50680466,0,0,0,0,0,0,0,0,0,73863.3815,20113.9164,32802.76595178,0,0,0,0,0,0,738633.8150000001,603417.492,1374854.073,0
avral,0.01001265,980,0,0,0,0,0,0,0,0,0,0,3.33421245,980,0,0,0,0,0,0,0,983.3342,0
avraltest,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
ba43,7.7195164,22.4407,496.1995,61000,0,0,0,0,0,0,22191.593800000002,19733.7807,2570.5989612,22.4407,496.1995,122000,0,0,0,221915.93800000002,592013.421,939018.5982,0
babaone,0.354,1,0,0,0,0,0,0,0,0,0,0,117.88199999999999,1,0,0,0,0,0,0,0,118.882,0
backwoodsbob,11059.4736318,0,0,679054.4153,0,0,0,0,0,0,606321.5456,259996.26489999998,3682804.7193894,0,0,1358108.8306,0,0,0,6063215.455999999,7799887.947,18904016.953,0
baconisbueno,0,0,0,0,0,0,0,0,0,0,750939.1986,537839.0283,0,0,0,0,0,0,0,7509391.986,16135170.849,23644562.835,0
bahapump,16.19719,0,0,0,0,0,0,0,0,0,0,0,5393.664269999999,0,0,0,0,0,0,0,0,5393.6643,0
bairhug,7.065,0,0,135992.7899,0,0,0,0,0,0,135765.7077,93074.23950000001,2352.645,0,0,271985.5798,0,0,0,1357657.077,2792227.1850000005,4424222.4868,0
ballantines,181.25074254,0,0,0,0,0,0,0,0,0,0,0,60356.49726582,0,0,0,0,0,0,0,0,60356.4973,0
bambiha,9918.79875494,0,0,0,131.72110797,90.2897427921885,0,0,0,0,5238740.9505,5238740.9505,3302959.9853950203,0,0,0,60132.96869959754,0,0,52387409.505,157162228.51500002,212912730.9741,0
bankofusa,610.743887,0,0,0,0,0,0,0,0,0,151079.7653,0,203377.71437099998,0,0,0,0,0,0,1510797.653,0,1714175.3674,0
barnisdanica,50,0,0,0,0,0,0,0,0,0,0,0,16650,0,0,0,0,0,0,0,0,16650,0
bdavis,10038.08234801,0.0413,0,8588356,0,0,0,0,0,0,1162544,0,3342681.4218873302,0.0413,0,17176712,0,0,0,11625440,0,32144833.4632,0
beatipaoli,683.45,0,0,0,0,0,0,0,0,0,0,0,227588.85,0,0,0,0,0,0,0,0,227588.85,0
beezbo,53.61878859,0,0,0,0,0,0,0,0,0,161236.3689,0,17855.05660047,0,0,0,0,0,0,1612363.689,0,1630218.7456,0
ben4trader,186,0,0,0,0,0,0,0,0,0,45565.9349,45565.9349,61938,0,0,0,0,0,0,455659.349,1366978.047,1884575.396,0
benjamindads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benjieeee252,0,5914.011,0,26323.7023,0,0,0,0,0,0,33670.8585,23670.858500000002,0,5914.011,0,52647.4046,0,0,0,336708.585,710125.7550000001,1105395.7556,0
